,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
669,2020_04_25,-34.6111896,-58.3610718,https://departamento.mercadolibre.com.ar/MLA-850852467-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,2200.0,USD,80,2
678,2020_04_25,-34.5930908,-58.4089839,https://departamento.mercadolibre.com.ar/MLA-850852922-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,25000.0,ARS,40,2
681,2020_04_25,-34.5625443,-58.4428188,https://departamento.mercadolibre.com.ar/MLA-850853821-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,28000.0,ARS,55,2
689,2020_04_25,-34.57221,-58.4509799,https://departamento.mercadolibre.com.ar/MLA-850876185-torre-greentower-2-amb-al-frente-con-cochera-full-amenities-colegiales-_JM,"Torre Greentower , 2 Amb Al Frente Con Cochera!  Full  Amenities. Colegiales",Departamento,26000.0,ARS,50,2
691,2020_04_25,-34.603433,-58.363961,https://departamento.mercadolibre.com.ar/MLA-850893699-alquiler-2-amb-108-m2-ccoch-en-madero-center-_JM,"Alquiler 2 Amb, 108 M2 C/coch En Madero Center",Departamento,1700.0,USD,108,2
693,2020_04_25,-34.655452,-58.5088176,https://departamento.mercadolibre.com.ar/MLA-850901120-alquiler-departamento-2-ambientes-mataderos-_JM,Alquiler Departamento 2 Ambientes - Mataderos,Departamento,15000.0,ARS,50,2
701,2020_04_25,-34.6665864,-58.4724801,https://departamento.mercadolibre.com.ar/MLA-850916108-departamentos-alquiler-villa-lugano-_JM,Departamentos Alquiler Villa Lugano,Departamento,13000.0,ARS,50,2
705,2020_04_25,-34.599643,-58.375406,https://departamento.mercadolibre.com.ar/MLA-850922240-alquiler-dpto-2-amb-equipado-microcentro-_JM,Alquiler Dpto 2 Amb Equipado - Microcentro,Departamento,25000.0,ARS,49,2
709,2020_04_25,-34.6109074,-58.4987605,https://departamento.mercadolibre.com.ar/MLA-850927948-departamentos-alquiler-villa-del-parque-_JM,Departamentos Alquiler Villa Del Parque,Departamento,14500.0,ARS,30,2
717,2020_04_25,-34.613041,-58.361911,https://departamento.mercadolibre.com.ar/MLA-850931532-alq-temporario-2-amb-cochera-ubicacion-_JM,"Alq Temporario 2 Amb, Cochera, Ubicación",Departamento,2600.0,USD,83,2
718,2020_04_25,-34.613021,-58.362002,https://departamento.mercadolibre.com.ar/MLA-850931538-dpto-2-amb-amoblado-ccochera-amenitiesubicac-_JM,"Dpto 2 Amb Amoblado, C/cochera, Amenities,ubicac",Departamento,1600.0,USD,83,2
719,2020_04_25,-34.58957,-58.403878,https://departamento.mercadolibre.com.ar/MLA-850935564-alquiler-departamento-2-amb-barrio-norte-38-m-_JM,Alquiler Departamento 2 Amb Barrio Norte 38 M,Departamento,20000.0,ARS,38,2
721,2020_04_25,-34.6296216,-58.5050503,https://departamento.mercadolibre.com.ar/MLA-851006975-departamentos-alquiler-villa-luro-_JM,Departamentos Alquiler Villa Luro,Departamento,16000.0,ARS,48,2
723,2020_04_25,-34.5775159,-58.498022,https://departamento.mercadolibre.com.ar/MLA-851048338-departamento-en-alquiler-2-ambientes-impresionante-vista-villa-urquiza-_JM,"Departamento En Alquiler, 2 Ambientes. Impresionante Vista. Villa Urquiza",Departamento,21000.0,ARS,58,2
724,2020_04_25,-34.5608827,-58.4443254,https://departamento.mercadolibre.com.ar/MLA-851050522-alquiler-2-ambientes-cochera-av-del-libertador-_JM,Alquiler 2 Ambientes + Cochera Av Del Libertador,Departamento,23000.0,ARS,43,2
726,2020_04_25,-34.6297403,-58.3984946,https://departamento.mercadolibre.com.ar/MLA-851061572-dueno-directo-alquila-sgtia-scomi-boedo-2-dorm-balcon-7mo-_JM,Dueño Directo Alquila S/gtia S/comi. Boedo 2 Dorm Balcon 7mo,Departamento,20000.0,ARS,50,2
731,2020_04_25,-34.5806264,-58.4341306,https://departamento.mercadolibre.com.ar/MLA-851129542-duplex-amoblado-y-equipado-en-palermo-hollywood-con-cochera-_JM,"Duplex Amoblado Y Equipado En Palermo Hollywood, Con Cochera",Departamento,47500.0,ARS,60,2
738,2020_04_25,-34.5620422,-58.4637617,https://departamento.mercadolibre.com.ar/MLA-851146904-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,24000.0,ARS,43,2
